project_code,project_name,snapshot_date,start_date,original_doc,original_cost_cr,cumulative_expenditure_cr,physical_progress_pct,planned_duration_months,elapsed_months,months_to_original_target,expenditure_pct_of_original_cost,project_category,target_cost_overrun_pct,target_schedule_overrun_months,delay_flag,cost_overrun_flag,max_cost_overrun,cost_risk,expenditure_progress_gap,schedule_slippage_months,schedule_pressure_ratio,budget_consumption_ratio,expenditure_progress_ratio
N18000394,TS FOR EVACUATION POWER FROM RAJASTHAN REZ PH-IV (PART-2:5.5GW) (JAISALMER/BARMER COMPLEX) PART- E,2025-06-01,2024-08-01,08-2026,3251.0,650.2,16.2,24,10,14,20.0,Other_Power_Transmission,0.0,0.0,0,0,0.0,0,3.8000000000000007,0,0.4166666666666667,0.2,1.234567901234568
N18000395,AUGMENTATION OF 1500MVA 3RD 765/400KV TRANSFORMATION CAPACITY AT KURNOOL NEW SUBSTATION,2025-06-01,2023-05-01,09-2025,164.0,60.0,33.0,28,25,3,36.58536585365854,Substation_Grid_Equipment,0.0,0.0,0,0,0.0,0,3.585365853658537,0,0.8928571428571429,0.36585365853658536,1.1086474501108647
N18000396,ADDITIONAL TRANSMISSION SYSTEM FOR EVACUATION OF POWER FROM BHADLA-III PS AS PART OF RAJASTHAN REZ P,2025-06-01,2024-08-01,02-2026,369.0,10.3,3.8,18,10,8,2.791327913279133,Transmission_System,0.0,0.0,0,0,0.0,0,-1.0086720867208667,0,0.5555555555555556,0.027913279132791333,0.7345599771787192
N18000397,TRANSMISSION SYSTEM STRENGTHENING FOR INTERCONNECTIONS OF BHADLA-III AND BIKANER III COMPLEX [SPV NA,2025-06-01,2024-08-01,08-2026,1382.0,27.6,1.0,24,10,14,1.9971056439942112,Transmission_System,0.0,0.0,0,0,0.0,0,0.9971056439942112,0,0.4166666666666667,0.01997105643994211,1.9971056439942112
N18000399,TRANSMISSION SYSTEM FOR EVACUATION OF POWER FROM RAJASTHAN REZ PH-IV [PART-2 5.5GW] [JAISALMER/BARME,2025-06-01,2024-10-01,10-2026,3674.0,345.36,12.7,24,8,16,9.400108873162766,Transmission_System,0.0,0.0,0,0,0.0,0,-3.299891126837233,0,0.3333333333333333,0.09400108873162766,0.7401660530049423
N18000400,TRANSMISSION SYSTEM FOR EVACUATION OF POWER FROM POTENTIAL RENEWABLE ENERGY ZONE IN KHAVDA AREA OF G,2025-06-01,2024-10-01,10-2026,4766.0,333.62,5.1,24,8,16,7.000000000000001,Transmission_System,0.0,0.0,0,0,0.0,0,1.9000000000000012,0,0.3333333333333333,0.07,1.3725490196078434
N18000401,TRANSMISSION SYSTEM FOR EVACUATION OF POWER FROM RAJASTHAN REZ PH -IV [PART-2 5.5 GW] [JAISALMER/BAR,2025-06-01,2024-11-01,11-2026,2735.0,27.35,3.8,24,7,17,1.0,Transmission_System,0.0,0.0,0,0,0.0,0,-2.8,0,0.2916666666666667,0.01,0.2631578947368421
N18000402,PROVISION OF DYNAMIC REACTIVE COMPENSATION AT KHAVDA POOLING STATION 1 [KPS1] AND KHAVDA POOLING STA,2025-06-01,2024-11-01,11-2026,501.0,5.01,1.0,24,7,17,1.0,Substation_Grid_Equipment,0.0,0.0,0,0,0.0,0,0.0,0,0.2916666666666667,0.01,1.0
N18000404,TRANSMISSION SYSTEM FOR EVACUATION OF POWER FROM RAJASTHAN REZ PH-IV [PART-3 (6 GW)] [BIKANER COMPLE,2025-06-01,2024-11-01,11-2026,5357.0,107.14,3.8,24,7,17,2.0,Transmission_System,0.0,0.0,0,0,0.0,0,-1.7999999999999998,0,0.2916666666666667,0.02,0.5263157894736842
N18000407,TRANSMISSION SYSTEM FOR EVACUATION OF POWER FROM RAJASTHAN REZ PH-IV (PART-4: 3.5 GW): PART A,2025-06-01,2024-12-01,12-2026,5846.0,198.76,2.1,24,6,18,3.399931577146767,Transmission_System,0.0,0.0,0,0,0.0,0,1.2999315771467668,0,0.25,0.03399931577146767,1.6190150367365557
N18000408,TRANSMISSION SYSTEM UNDER ISTS FOR EVACUATION OF POWER FROM KUDANKULAM UNIT - 3 AND 4 (2X1000 MW),2025-06-01,2025-01-01,07-2028,548.0,9.32,2.5,42,5,37,1.700729927007299,Transmission_System,0.0,0.0,0,0,0.0,0,-0.7992700729927009,0,0.11904761904761904,0.017007299270072992,0.6802919708029196
