project_code,project_name,snapshot_date,target_cost_overrun_pct,prediction,fold
607709,NORTH EASTERN REGION POWER SYSTEM IMPROVEMENT PROJECT [NERPSIP],2025-11-01,31.08134282075311,30.682618518652447,2
607709,NORTH EASTERN REGION POWER SYSTEM IMPROVEMENT PROJECT [NERPSIP],2025-12-01,31.08134282075311,30.682618518652447,2
607709,NORTH EASTERN REGION POWER SYSTEM IMPROVEMENT PROJECT [NERPSIP],2026-01-01,31.08134282075311,30.813780114759133,2
607709,NORTH EASTERN REGION POWER SYSTEM IMPROVEMENT PROJECT [NERPSIP],2026-02-01,31.08134282075311,30.85522190518681,2
607709,NORTH EASTERN REGION POWER SYSTEM IMPROVEMENT PROJECT [NERPSIP],2026-03-01,31.08134282075311,30.85522190518681,2
607709,NORTH EASTERN REGION POWER SYSTEM IMPROVEMENT PROJECT [NERPSIP],2026-04-01,31.08134282075311,30.85522190518681,2
607709,NORTH EASTERN REGION POWER SYSTEM IMPROVEMENT PROJECT [NERPSIP],2026-05-01,31.08134282075311,30.85522190518681,2
607709,NORTH EASTERN REGION POWER SYSTEM IMPROVEMENT PROJECT [NERPSIP],2026-06-01,31.08134282075311,30.85522190518681,2
611656,Transmission scheme for evacuation of 4.5GW RE injection at Khavda PS under Phase II- Part B,2025-07-01,-0.04710719027022,0.0,2
611656,Transmission scheme for evacuation of 4.5GW RE injection at Khavda PS under Phase II- Part B,2025-08-01,-0.04710719027022,0.0,2
611656,Transmission scheme for evacuation of 4.5GW RE injection at Khavda PS under Phase II- Part B,2025-09-01,-0.04710719027022,-0.0013051390025880774,2
611656,Transmission scheme for evacuation of 4.5GW RE injection at Khavda PS under Phase II- Part B,2025-10-01,-0.04710719027022,-0.0008342170871473441,2
617801,Provision of ICT Augmentation & Bus Reactor at Bhuj-II PS,2025-10-01,0.0,0.0,2
617801,Provision of ICT Augmentation & Bus Reactor at Bhuj-II PS,2025-11-01,0.0,0.0,2
617801,Provision of ICT Augmentation & Bus Reactor at Bhuj-II PS,2025-12-01,0.0,0.0,2
617801,Provision of ICT Augmentation & Bus Reactor at Bhuj-II PS,2026-01-01,0.0,0.0,2
617801,Provision of ICT Augmentation & Bus Reactor at Bhuj-II PS,2026-02-01,0.0,0.0,2
617801,Provision of ICT Augmentation & Bus Reactor at Bhuj-II PS,2026-03-01,0.0,0.0,2
617801,Provision of ICT Augmentation & Bus Reactor at Bhuj-II PS,2026-04-01,0.0,0.0,2
617801,Provision of ICT Augmentation & Bus Reactor at Bhuj-II PS,2026-05-01,0.0,0.0,2
617801,Provision of ICT Augmentation & Bus Reactor at Bhuj-II PS,2026-06-01,0.0,0.0,2
N18000300,TRANSMISSION SYSTEM STRENGTHENING SCHEME FOR EVACUATION OF POWER FROM SOLAR ENERGY ZONES IN RAJASTHA,2024-08-01,0.0,3.6372032422388285,2
N18000307,TRANSMISSION SYSTEM STRENGTHENING SCHEME FOR EVACUATION OF POWER FROM SOLAR ENERGY ZONES IN RAJASTHA,2024-08-01,0.0,3.385419494460969,2
N18000307,TRANSMISSION SYSTEM STRENGTHENING SCHEME FOR EVACUATION OF POWER FROM SOLAR ENERGY ZONES IN RAJASTHA,2024-11-01,0.0,3.287463346280446,2
N18000330,TRANSMISSION SYSTEM STRENGTHENING FOR SRINAGAR-LEH TRANSMISSION SYSTEM,2024-11-01,0.0,0.0,2
N18000330,TRANSMISSION SYSTEM STRENGTHENING FOR SRINAGAR-LEH TRANSMISSION SYSTEM,2024-12-01,0.0,0.0,2
N18000330,TRANSMISSION SYSTEM STRENGTHENING FOR SRINAGAR-LEH TRANSMISSION SYSTEM,2025-01-01,0.0,0.0,2
N18000330,TRANSMISSION SYSTEM STRENGTHENING FOR SRINAGAR-LEH TRANSMISSION SYSTEM,2025-02-01,0.0,0.0,2
N18000330,TRANSMISSION SYSTEM STRENGTHENING FOR SRINAGAR-LEH TRANSMISSION SYSTEM,2025-03-01,0.0,0.0,2
N18000330,TRANSMISSION SYSTEM STRENGTHENING FOR SRINAGAR-LEH TRANSMISSION SYSTEM,2025-04-01,0.0,0.0,2
N18000330,TRANSMISSION SYSTEM STRENGTHENING FOR SRINAGAR-LEH TRANSMISSION SYSTEM,2025-05-01,0.0,0.0,2
N18000330,TRANSMISSION SYSTEM STRENGTHENING FOR SRINAGAR-LEH TRANSMISSION SYSTEM,2025-06-01,0.0,0.0,2
N18000355,TRANSMISSION SYSTEM ASSOCIATED WITH WESTERN REGION EXPANSION SCHEME-XXVIII AND XXIX,2024-08-01,0.0,0.0,2
N18000355,TRANSMISSION SYSTEM ASSOCIATED WITH WESTERN REGION EXPANSION SCHEME-XXVIII AND XXIX,2024-09-01,0.0,0.0,2
N18000355,TRANSMISSION SYSTEM ASSOCIATED WITH WESTERN REGION EXPANSION SCHEME- XXVIII AND XXIX,2024-11-01,0.0,0.0,2
N18000355,TRANSMISSION SYSTEM ASSOCIATED WITH WESTERN REGION EXPANSION SCHEME- XXVIII AND XXIX,2024-12-01,0.0,0.0,2
N18000355,TRANSMISSION SYSTEM ASSOCIATED WITH WESTERN REGION EXPANSION SCHEME-XXVIII AND XXIX,2025-01-01,0.0,0.0,2
N18000355,TRANSMISSION SYSTEM ASSOCIATED WITH WESTERN REGION EXPANSION SCHEME- XXVIII AND XXIX,2025-02-01,0.0,0.0,2
N18000355,TRANSMISSION SYSTEM ASSOCIATED WITH WESTERN REGION EXPANSION SCHEME- XXVIII AND XXIX,2025-03-01,0.0,0.0,2
N18000356,TRANSMISSION SYSTEM SCHEME FOR EVACUATION OF POWER FROM REZ RAJASTHAN (8.1 GW) UNDER PHASE-II PART,2024-08-01,0.0,0.0,2
