project_code,project_name,snapshot_date,original_cost_cr,cumulative_expenditure_cr,physical_progress_pct,planned_duration_months,elapsed_months,months_to_original_target,expenditure_pct_of_original_cost,project_category,progress_velocity,expenditure_velocity,expenditure_progress_gap,schedule_slippage_months,schedule_pressure_ratio,budget_consumption_ratio,target_cost_overrun_pct,target_schedule_overrun_months
611950,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part B1,2025-12-01,2190.54,2079.44,98.0,19,27,-8,94.9281912222557,Transmission_System,2.0,3.5881563450108303,-3.0718087777442946,8,1.4210526315789471,0.9492819122225572,0.0,9.0
611950,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part B1,2026-01-01,2190.54,2139.44,99.0,19,28,-9,97.66724186730214,Transmission_System,1.0,2.739050645046433,-1.3327581326978617,9,1.4736842105263157,0.9766724186730212,0.0,10.0
611966,Transmission System for Evacuation of power from Potential RE Zone in Khavda Area of Gujarat under phase IV 7GW-Part E4,2025-07-01,224.41,22.44,9.0,20,20,0,9.9995543870594,Transmission_System,0.0,0.0,0.9995543870593996,0,1.0,0.0999955438705939,0.0,4.0
611966,Transmission System for Evacuation of power from Potential RE Zone in Khavda Area of Gujarat under phase IV 7GW-Part E4,2025-08-01,224.41,24.64,10.0,20,21,-1,10.97990285637895,Transmission_System,1.0,0.9803484693195496,0.9799028563789492,1,1.05,0.1097990285637895,0.0,5.0
611966,Transmission System for Evacuation of power from Potential RE Zone in Khavda Area of Gujarat under phase IV 7GW-Part E4,2025-09-01,224.41,25.8,12.0,20,22,-2,11.496813867474712,Transmission_System,2.0,0.5169110110957629,-0.503186132525288,2,1.1,0.1149681386747471,0.0,5.0
611966,Transmission System for Evacuation of power from Potential RE Zone in Khavda Area of Gujarat under phase IV 7GW-Part E4,2025-10-01,224.41,33.66,18.0,20,23,-3,14.999331580589098,Transmission_System,6.0,3.5025177131143863,-3.0006684194109017,3,1.15,0.1499933158058909,0.0,8.0
611966,Transmission System for Evacuation of power from Potential RE Zone in Khavda Area of Gujarat under phase IV 7GW-Part E4,2025-11-01,224.41,89.66,44.0,20,24,-4,39.95365625417762,Transmission_System,26.0,24.954324673588523,-4.0463437458223765,4,1.2,0.3995365625417762,0.0,8.0
611966,Transmission System for Evacuation of power from Potential RE Zone in Khavda Area of Gujarat under phase IV 7GW-Part E4,2025-12-01,224.41,109.96,49.0,20,25,-5,48.99959894835346,Transmission_System,5.0,9.045942694175835,-0.0004010516465413,5,1.25,0.4899959894835345,0.0,8.0
611966,Transmission System for Evacuation of power from Potential RE Zone in Khavda Area of Gujarat under phase IV 7GW-Part E4,2026-01-01,224.41,121.18,63.0,20,26,-6,53.99937614188316,Transmission_System,14.0,4.999777193529702,-9.000623858116839,6,1.3,0.5399937614188316,0.0,8.0
611966,Transmission System for Evacuation of power from Potential RE Zone in Khavda Area of Gujarat under phase IV 7GW-Part E4,2026-02-01,224.41,161.57,74.0,20,27,-7,71.99768281270887,Transmission_System,11.0,17.998306670825713,-2.0023171872911263,7,1.35,0.7199768281270887,0.0,8.0
611966,Transmission System for Evacuation of power from Potential RE Zone in Khavda Area of Gujarat under phase IV 7GW-Part E4,2026-03-01,224.41,197.47,90.8,20,28,-8,87.99518738024152,Transmission_System,16.799999999999997,15.997504567532644,-2.8048126197584793,8,1.4,0.8799518738024151,0.0,9.0
611966,Transmission System for Evacuation of power from Potential RE Zone in Khavda Area of Gujarat under phase IV 7GW-Part E4,2026-04-01,224.41,206.45,94.8,20,29,-9,91.99679158682768,Transmission_System,4.0,4.0016042065861654,-2.803208413172314,9,1.45,0.9199679158682768,0.0,9.0
611966,Transmission System for Evacuation of power from Potential RE Zone in Khavda Area of Gujarat under phase IV 7GW-Part E4,2026-05-01,224.41,215.43,99.6,20,30,-10,95.99839579341383,Transmission_System,4.799999999999997,4.001604206586151,-3.60160420658616,10,1.5,0.9599839579341384,0.0,10.0
611966,Transmission System for Evacuation of power from Potential RE Zone in Khavda Area of Gujarat under phase IV 7GW-Part E4,2026-06-01,224.41,224.41,100.0,20,31,-11,100.0,Transmission_System,0.4000000000000057,4.0016042065861654,0.0,11,1.55,1.0,0.0,10.0
611967,Transmission Scheme for Solar Energy Zone in Ananthpuram 2500MW and Kurnool 1000MW,2025-07-01,1248.69,820.26,78.0,24,22,2,65.68964274559738,Transmission_System,0.0,0.0,-12.310357254402618,0,0.9166666666666666,0.6568964274559739,0.0,7.0
611967,Transmission Scheme for Solar Energy Zone in Ananthpuram 2500MW and Kurnool 1000MW,2025-08-01,1248.69,860.97,82.0,24,23,1,68.94985945270643,Transmission_System,4.0,3.260216707109052,-13.050140547293566,0,0.9583333333333334,0.6894985945270643,0.0,7.0
611967,Transmission Scheme for Solar Energy Zone in Ananthpuram 2500MW and Kurnool 1000MW,2025-09-01,1248.69,924.03,84.0,24,24,0,73.99995194964322,Transmission_System,2.0,5.050092496936784,-10.00004805035678,0,1.0,0.7399995194964322,0.0,6.0
