project_code,project_name,snapshot_date,start_date,original_doc,original_cost_cr,cumulative_expenditure_cr,physical_progress_pct,planned_duration_months,elapsed_months,months_to_original_target,expenditure_pct_of_original_cost,project_category,target_cost_overrun_pct,target_schedule_overrun_months,delay_flag,cost_overrun_flag
611949,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part C1,2025-08-01,2023-10-01,04-2025,1796.02,1247.87,83.0,18,22,-4,69.47973853297847,Transmission_System,0.0,6.0,1,0
611949,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part C1,2025-09-01,2023-10-01,04-2025,1796.02,1347.01,85.0,18,23,-5,74.99972160666363,Transmission_System,0.0,11.0,1,0
611949,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part C1,2025-10-01,2023-10-01,04-2025,1796.02,1436.81,89.0,18,24,-6,79.99966592799635,Transmission_System,0.0,11.0,1,0
611949,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part C1,2025-11-01,2023-10-01,04-2025,1796.02,1580.49,92.0,18,25,-7,87.99957684212872,Transmission_System,0.0,11.0,1,0
611949,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part C1,2025-12-01,2023-10-01,04-2025,1796.02,1621.79,94.0,18,26,-8,90.29910580060356,Transmission_System,0.0,11.0,1,0
611949,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part C1,2026-02-01,2023-10-01,04-2025,1796.02,1688.25,96.0,18,28,-10,93.99951002772798,Transmission_System,0.0,13.0,1,0
611949,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part C1,2026-03-01,2023-10-01,04-2025,1796.02,1724.17,98.47,18,29,-11,95.99948775626108,Transmission_System,0.0,13.0,1,0
611950,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part B1,2025-07-01,2023-09-01,04-2025,2190.54,1740.6,77.0,19,22,-3,79.45985921279684,Transmission_System,0.0,8.0,1,0
611950,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part B1,2025-08-01,2023-09-01,04-2025,2190.54,1870.72,83.0,19,23,-4,85.39994704502087,Transmission_System,0.0,8.0,1,0
611950,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part B1,2025-09-01,2023-09-01,04-2025,2190.54,1905.77,89.0,19,24,-5,87.00000913016882,Transmission_System,0.0,8.0,1,0
