project_code,project_name,state,snapshot_date,start_date,original_doc,original_cost_cr,cumulative_expenditure_cr,physical_progress_pct,planned_duration_months,elapsed_months,months_to_original_target,expenditure_pct_of_original_cost,progress_gap_pct,project_category,target_cost_overrun_pct,target_schedule_overrun_months,delay_flag,cost_overrun_flag
611660,Establishment of Khavda Pooling Station-2 KPS2 in Khavda RE Park KPS2 TRANSMISSION SYSTEM LIMITED,Gujarat,2025-10,03-2023,12-2024,966.79,936.24,97.0,21,31,-10,96.84005833738455,3.0,Substation_Grid_Equipment,0.0,11.0,1,0
611737,Western Region Expansion Scheme-XXV,Chhattisgarh,2025-07,02-2023,11-2023,385.84,378.16,96.0,9,29,-20,98.00953763217916,4.0,Transmission_System,0.0,22.0,1,0
611737,Western Region Expansion Scheme-XXV,Chhattisgarh,2025-08,02-2023,11-2023,385.84,378.17,97.0,9,30,-21,98.01212938005392,3.0,Transmission_System,0.0,25.0,1,0
611737,Western Region Expansion Scheme-XXV,Chhattisgarh,2025-09,02-2023,11-2023,385.84,378.74,97.0,9,31,-22,98.15985900891562,3.0,Transmission_System,0.0,25.0,1,0
611737,Western Region Expansion Scheme-XXV,Chhattisgarh,2025-10,02-2023,11-2023,385.84,382.4,100.0,9,32,-23,99.10843873108024,0.0,Transmission_System,0.0,23.0,1,0
611947,Transmission System for Evacuation of Power from REZ in Rajasthan 20GW under Phase III- Part E2,Rajasthan,2025-07,11-2023,06-2025,428.3,107.07,46.0,19,20,-1,24.998832593976182,54.0,Transmission_System,0.0,3.0,1,0
611947,Transmission System for Evacuation of Power from REZ in Rajasthan 20GW under Phase III- Part E2,Rajasthan,2025-08,11-2023,06-2025,428.3,179.89,51.0,19,21,-2,42.00093392481905,49.0,Transmission_System,0.0,6.0,1,0
611947,Transmission System for Evacuation of Power from REZ in Rajasthan 20GW under Phase III- Part E2,Rajasthan,2025-09,11-2023,06-2025,428.3,205.58,54.0,19,22,-3,47.99906607518095,46.0,Transmission_System,0.0,6.0,1,0
611947,Transmission System for Evacuation of Power from REZ in Rajasthan 20GW under Phase III- Part E2,Rajasthan,2025-10,11-2023,06-2025,428.3,291.24,73.0,19,23,-4,67.99906607518095,27.0,Transmission_System,0.0,9.0,1,0
611947,Transmission System for Evacuation of Power from REZ in Rajasthan 20GW under Phase III- Part E2,Rajasthan,2025-11,11-2023,06-2025,428.3,308.38,80.0,19,24,-5,72.00093392481904,20.0,Transmission_System,0.0,9.0,1,0
611947,Transmission System for Evacuation of Power from REZ in Rajasthan 20GW under Phase III- Part E2,Rajasthan,2025-12,11-2023,06-2025,428.3,334.08,82.0,19,25,-6,78.00140088722857,18.0,Transmission_System,0.0,9.0,1,0
611947,Transmission System for Evacuation of Power from REZ in Rajasthan 20GW under Phase III- Part E2,Rajasthan,2026-01,11-2023,06-2025,428.3,351.21,84.0,19,26,-7,82.00093392481904,16.0,Transmission_System,0.0,9.0,1,0
